circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00473,78,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,128,128,6.569682080379216
00473,78,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,132,132,6.802050688993271
00473,78,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,68,68,3.0841529511683943
00473,78,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,68,68,3.0841529511683943
00473,78,UNION POR LA PATRIA,SENADOR NACIONAL,0,69,69,3.142245103321908
00475,103,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,112,0,112,5.640207645922997
00475,103,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,107,0,107,5.349746885155429
00475,103,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,110,0,110,5.52402334161597
00475,103,UNION POR LA PATRIA,DIPUTADO NACIONAL,73,0,73,3.3746137119359627
00475,103,UNION POR LA PATRIA,PRESIDENTE Y VICE,82,0,82,3.897443081317586
00475,103,UNION POR LA PATRIA,SENADOR NACIONAL,77,0,77,3.6069823205500176
00475,116,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,45,135,90,4.362180298545695
00475,118,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,147,147,7.673432971295976
00475,118,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,149,149,7.789617275603003
00475,118,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,148,148,7.73152512344949
00475,135,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,68,68,3.0841529511683943
00475,135,UNION POR LA PATRIA,SENADOR NACIONAL,0,71,71,3.2584294076289355
00480,170,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,117,0,117,5.9306684066905655
00480,170,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,113,0,113,5.69829979807651
00480,170,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,118,0,118,5.9887605588440795
00480,170,UNION POR LA PATRIA,DIPUTADO NACIONAL,84,0,84,4.013627385624614
00480,170,UNION POR LA PATRIA,PRESIDENTE Y VICE,99,0,99,4.885009667927319
00480,170,UNION POR LA PATRIA,SENADOR NACIONAL,88,0,88,4.245995994238668
00482,190,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,114,114,5.756391950230024
00482,190,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,114,114,5.756391950230024
00482,190,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,114,114,5.756391950230024
00482,190,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,0,82,82,3.897443081317586
00482,190,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,76,76,3.548890168396504
00482,190,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,73,73,3.3746137119359627
00482,190,UNION POR LA PATRIA,SENADOR NACIONAL,0,76,76,3.548890168396504
00484,202,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,119,119,6.046852710997593
00484,202,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,114,114,5.756391950230024
00484,202,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,120,120,6.104944863151107
00484,202,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,67,67,3.0260607990148807
00486,221,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,97,97,4.768825363620292
00486,221,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,101,101,5.001193972234346
00486,221,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,95,95,4.652641059313264
00486,221,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,87,87,4.187903842085155
00486,221,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,86,86,4.129811689931641
00486,221,UNION POR LA PATRIA,SENADOR NACIONAL,0,87,87,4.187903842085155
00495,280,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,111,111,5.582115493769483
00495,280,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,107,107,5.349746885155429
00495,280,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,110,110,5.52402334161597
00495,280,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,67,67,3.0260607990148807
00495,280,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,67,67,3.0260607990148807
00495,280,UNION POR LA PATRIA,SENADOR NACIONAL,0,67,67,3.0260607990148807
00495,281,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,117,0,117,5.9306684066905655
00495,281,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,116,0,116,5.8725762545370515
00495,281,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,116,0,116,5.8725762545370515
00495,281,UNION POR LA PATRIA,DIPUTADO NACIONAL,90,0,90,4.362180298545695
00495,281,UNION POR LA PATRIA,PRESIDENTE Y VICE,102,0,102,5.05928612438786
00495,281,UNION POR LA PATRIA,SENADOR NACIONAL,93,0,93,4.5364567550062365
00495,289,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,107,107,5.349746885155429
00495,289,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,114,114,5.756391950230024
00495,289,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,109,109,5.465931189462456
00495,289,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,87,87,4.187903842085155
00495,289,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,84,84,4.013627385624614
00495,289,UNION POR LA PATRIA,SENADOR NACIONAL,0,88,88,4.245995994238668
00495,302,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,117,117,5.9306684066905655
00495,302,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,112,112,5.640207645922997
00495,302,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,117,117,5.9306684066905655
00495,302,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,88,88,4.245995994238668
00495,302,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,97,97,4.768825363620292
00495,302,UNION POR LA PATRIA,SENADOR NACIONAL,0,88,88,4.245995994238668
00496,344,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,75,0,75,3.49079801624299
00496,344,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,72,0,72,3.316521559782449
00496,344,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,73,0,73,3.3746137119359627
00496,344,UNION POR LA PATRIA,DIPUTADO NACIONAL,99,0,99,4.885009667927319
00496,344,UNION POR LA PATRIA,PRESIDENTE Y VICE,106,0,106,5.291654733001915
00496,344,UNION POR LA PATRIA,SENADOR NACIONAL,101,0,101,5.001193972234346
00496,346,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,77,77,3.6069823205500176
00496,346,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,77,77,3.6069823205500176
00496,346,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,68,68,3.0841529511683943
00496,346,UNION POR LA PATRIA,SENADOR NACIONAL,0,69,69,3.142245103321908
